11,9,9,9,9,9,9,9,9,9,9,9,9,19,20,9,9,9,9,9,9,9,9,9,9,9,9,12
10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,10
10,1,5,3,3,6,1,5,3,3,3,6,1,4,4,1,5,3,3,3,6,1,5,3,3,6,1,10
10,2,4,0,0,4,1,4,0,0,0,4,1,4,4,1,4,0,0,0,4,1,4,0,0,4,2,10
10,1,7,3,3,8,1,7,3,3,3,8,1,7,8,1,7,3,3,3,8,1,7,3,3,8,1,10
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10
10,1,5,3,3,6,1,5,6,1,5,3,3,3,3,3,3,6,1,5,6,1,5,3,3,6,1,10
10,1,7,3,3,8,1,4,4,1,7,3,3,6,5,3,3,8,1,4,4,1,7,3,3,8,1,10
10,1,1,1,1,1,1,4,4,1,1,1,1,4,4,1,1,1,1,4,4,1,1,1,1,1,1,10
13,9,9,9,9,12,1,4,7,3,3,6,0,4,4,0,5,3,3,8,4,1,11,9,9,9,9,14
0,0,0,0,0,10,1,4,5,3,3,8,0,7,8,0,7,3,3,6,4,1,10,0,0,0,0,0
0,0,0,0,0,10,1,4,4,0,0,0,0,0,0,0,0,0,0,4,4,1,10,0,0,0,0,0
0,0,0,0,0,10,1,4,4,0,15,9,9,25,25,9,9,16,0,4,4,1,10,0,0,0,0,0
9,9,9,9,9,14,1,7,8,0,10,0,0,0,0,0,0,10,0,7,8,1,13,9,9,9,9,9
1,1,1,1,1,1,1,1,0,0,10,0,0,0,0,0,0,10,0,0,1,1,1,1,1,1,1,1
9,9,9,9,9,12,1,5,6,0,10,0,0,0,0,0,0,10,0,5,6,1,11,9,9,9,9,9
0,0,0,0,0,10,1,4,4,0,17,9,9,9,9,9,9,18,0,4,4,1,10,0,0,0,0,0
0,0,0,0,0,10,1,4,4,0,0,0,0,0,0,0,0,0,0,4,4,1,10,0,0,0,0,0
0,0,0,0,0,10,1,4,4,0,5,3,3,3,3,3,3,6,0,4,4,1,10,0,0,0,0,0
11,9,9,9,9,14,1,7,8,0,7,3,3,6,5,3,3,8,0,7,8,1,13,9,9,9,9,12
10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,10
10,1,5,3,3,6,1,5,3,3,3,6,1,4,4,1,5,3,3,3,6,1,5,3,3,6,1,10
10,1,7,3,6,4,1,7,3,3,3,8,1,7,8,1,7,3,3,3,8,1,4,5,3,8,1,10
10,2,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,2,10
21,3,6,1,4,4,1,5,6,1,5,3,3,3,3,3,3,6,1,5,6,1,4,4,1,5,3,24
22,3,8,1,7,8,1,4,4,1,7,3,3,6,5,3,3,8,1,4,4,1,7,8,1,7,3,23
10,1,1,1,1,1,1,4,4,1,1,1,1,4,4,1,1,1,1,4,4,1,1,1,1,1,1,10
10,1,5,3,3,3,3,8,7,3,3,6,1,4,4,1,5,3,3,8,7,3,3,3,3,6,1,10
10,1,7,3,3,3,3,3,3,3,3,8,1,7,8,1,7,3,3,3,3,3,3,3,3,8,1,10
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10
13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14
